learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.075,0.075,20,2,2.675589062,"[2.697214240838102, 2.6755890622520386, 2.69547725204487]",2.675589062,"[2.697214240838102, 2.6755890622520386, 2.69547725204487]"
0.075,0.075,50,1,2.690280808,"[2.690280808011309, 2.6951348856619366]",2.690280808,"[2.690280808011309, 2.6951348856619366]"
0.075,0.075,100,2,2.687902054,"[2.713832997880118, 2.6879020538413325, 2.7041347612168405]",2.687902054,"[2.713832997880118, 2.6879020538413325, 2.7041347612168405]"
0.075,0.05,20,1,2.872384828,"[2.8723848276188866, 2.881334247173166]",2.872384828,"[2.8723848276188866, 2.881334247173166]"
0.075,0.05,50,1,2.853164425,"[2.8531644247212777, 2.8933948055873806]",2.853164425,"[2.8531644247212777, 2.8933948055873806]"
0.075,0.05,100,2,2.871258541,"[2.8874012762344132, 2.8712585407706235, 2.8924925373198196]",2.871258541,"[2.8874012762344132, 2.8712585407706235, 2.8924925373198196]"
0.075,0.025,20,1,1.915907891,"[1.9159078914956527, 2.8571821873726155]",1.915907891,"[1.9159078914956527, 2.8571821873726155]"
0.075,0.025,50,1,1.896383112,"[1.8963831120065218, 2.812391609343106]",1.896383112,"[1.8963831120065218, 2.812391609343106]"
0.075,0.025,100,48,1.384229428,"[1.861943133357709, 1.828528498917395, 1.8064006047462273, 1.7901163255780201, 1.7750297516468163, 1.7593911913239935, 1.740736737959192, 1.7164617454474027, 1.6876661453265323, 1.654838273453901, 1.6205727458372015, 1.5875079921790465, 1.5576111607695493, 1.53090648957806, 1.5080822272069079, 1.4885465589974067, 1.4720644442526083, 1.45801613311153, 1.4464038474043324, 1.4370849280123412, 1.4289529561443792, 1.4221669651097606, 1.416479887064238, 1.4118438435954082, 1.4078874448661627, 1.4045252350187158, 1.4017672500189113, 1.3993638222162177, 1.3972899606317999, 1.3955566784177589, 1.3939328503951711, 1.3927631260565692, 1.3916313779726892, 1.3906456399214064, 1.3896598500028405, 1.3891204780191166, 1.3882708430083297, 1.3876460404655893, 1.3870999285571517, 1.3868190856706184, 1.3862583706497913, 1.3860142470358707, 1.3857205365648144, 1.3853241562107756, 1.3848985531312539, 1.3847522299376915, 1.3845430773460854, 1.3842294283726384, 1.3842744857145914]",1.384229428,"[1.861943133357709, 1.828528498917395, 1.8064006047462273, 1.7901163255780201, 1.7750297516468163, 1.7593911913239935, 1.740736737959192, 1.7164617454474027, 1.6876661453265323, 1.654838273453901, 1.6205727458372015, 1.5875079921790465, 1.5576111607695493, 1.53090648957806, 1.5080822272069079, 1.4885465589974067, 1.4720644442526083, 1.45801613311153, 1.4464038474043324, 1.4370849280123412, 1.4289529561443792, 1.4221669651097606, 1.416479887064238, 1.4118438435954082, 1.4078874448661627, 1.4045252350187158, 1.4017672500189113, 1.3993638222162177, 1.3972899606317999, 1.3955566784177589, 1.3939328503951711, 1.3927631260565692, 1.3916313779726892, 1.3906456399214064, 1.3896598500028405, 1.3891204780191166, 1.3882708430083297, 1.3876460404655893, 1.3870999285571517, 1.3868190856706184, 1.3862583706497913, 1.3860142470358707, 1.3857205365648144, 1.3853241562107756, 1.3848985531312539, 1.3847522299376915, 1.3845430773460854, 1.3842294283726384, 1.3842744857145914]"
0.075,0.01,20,99,1.411618523,"[1.8917327539362434, 1.8621560408291582, 1.8430124835157549, 1.8289886581274093, 1.816927281455385, 1.8071555411575149, 1.7985153725266925, 1.7900108876624476, 1.7822644508244503, 1.7742892074300964, 1.7666670733978969, 1.7584800633225641, 1.7499229533926237, 1.741511291194049, 1.7317091610186965, 1.7223198321317534, 1.711791728895816, 1.7010532077730436, 1.6898978881224682, 1.678923281736372, 1.6674578700960259, 1.6560657565232921, 1.644955465937781, 1.6339300409903845, 1.6227834014807598, 1.6121911078560924, 1.6023947760412631, 1.592306620110931, 1.5826507920730366, 1.5736558370449847, 1.564830003888475, 1.5566528008607825, 1.5487344798968283, 1.541257587066559, 1.5342598111461472, 1.5273631678678083, 1.5209629570482255, 1.5151244474575156, 1.5091724308810244, 1.5039252509805385, 1.4987319535889099, 1.4940759230998404, 1.4895568299907265, 1.4850765522725395, 1.4812504613784374, 1.4772059884988578, 1.473933714471683, 1.4703044610300555, 1.4670389209377594, 1.4640583138889423, 1.4610991195143113, 1.458422047770722, 1.4559674804969123, 1.4535037437418163, 1.451102573279651, 1.4490194408217398, 1.4466791687746776, 1.4450014522594343, 1.443112621998902, 1.4414839495129197, 1.4399839029773154, 1.4381921822495396, 1.4367496842394727, 1.4352920071418178, 1.4340365192124926, 1.432660091308055, 1.4315585777504571, 1.4304255149828693, 1.4293484152199307, 1.4282436258841473, 1.4273503060458304, 1.4264821912916401, 1.425338470315982, 1.4243172284966543, 1.4237619169309579, 1.4230620302074255, 1.422132326500844, 1.4215552139588825, 1.420934676293167, 1.4201918871694132, 1.4195462543328519, 1.41891527663721, 1.4182926112386007, 1.4177273884339952, 1.4172414280077155, 1.4166257759666736, 1.4161553638514384, 1.4158076062923828, 1.415259506061846, 1.4150264345944104, 1.4144840050047864, 1.4141296119550046, 1.4137401740531725, 1.4133160168232228, 1.4128437266169678, 1.4125824609799302, 1.4123313149667003, 1.4121149714461831, 1.4116185229538056, 1.4112627274964762]",1.411618523,"[1.8917327539362434, 1.8621560408291582, 1.8430124835157549, 1.8289886581274093, 1.816927281455385, 1.8071555411575149, 1.7985153725266925, 1.7900108876624476, 1.7822644508244503, 1.7742892074300964, 1.7666670733978969, 1.7584800633225641, 1.7499229533926237, 1.741511291194049, 1.7317091610186965, 1.7223198321317534, 1.711791728895816, 1.7010532077730436, 1.6898978881224682, 1.678923281736372, 1.6674578700960259, 1.6560657565232921, 1.644955465937781, 1.6339300409903845, 1.6227834014807598, 1.6121911078560924, 1.6023947760412631, 1.592306620110931, 1.5826507920730366, 1.5736558370449847, 1.564830003888475, 1.5566528008607825, 1.5487344798968283, 1.541257587066559, 1.5342598111461472, 1.5273631678678083, 1.5209629570482255, 1.5151244474575156, 1.5091724308810244, 1.5039252509805385, 1.4987319535889099, 1.4940759230998404, 1.4895568299907265, 1.4850765522725395, 1.4812504613784374, 1.4772059884988578, 1.473933714471683, 1.4703044610300555, 1.4670389209377594, 1.4640583138889423, 1.4610991195143113, 1.458422047770722, 1.4559674804969123, 1.4535037437418163, 1.451102573279651, 1.4490194408217398, 1.4466791687746776, 1.4450014522594343, 1.443112621998902, 1.4414839495129197, 1.4399839029773154, 1.4381921822495396, 1.4367496842394727, 1.4352920071418178, 1.4340365192124926, 1.432660091308055, 1.4315585777504571, 1.4304255149828693, 1.4293484152199307, 1.4282436258841473, 1.4273503060458304, 1.4264821912916401, 1.425338470315982, 1.4243172284966543, 1.4237619169309579, 1.4230620302074255, 1.422132326500844, 1.4215552139588825, 1.420934676293167, 1.4201918871694132, 1.4195462543328519, 1.41891527663721, 1.4182926112386007, 1.4177273884339952, 1.4172414280077155, 1.4166257759666736, 1.4161553638514384, 1.4158076062923828, 1.415259506061846, 1.4150264345944104, 1.4144840050047864, 1.4141296119550046, 1.4137401740531725, 1.4133160168232228, 1.4128437266169678, 1.4125824609799302, 1.4123313149667003, 1.4121149714461831, 1.4116185229538056, 1.4112627274964762]"
0.075,0.01,50,99,1.395516409,"[1.8963263935077654, 1.868960826035343, 1.8504496422473002, 1.8367352714397027, 1.8254285673503177, 1.8158398882740197, 1.8073188458277214, 1.7994671925613117, 1.792410210848474, 1.7854277948519028, 1.778008537206082, 1.7708404477240307, 1.7631811584489716, 1.7551635062785347, 1.7464219677705373, 1.736927566196999, 1.7269030102824448, 1.7160669020659929, 1.7044750022875512, 1.6923764855368777, 1.679865549252883, 1.666945426709775, 1.65379157142012, 1.640919352551353, 1.6282068359542254, 1.6154281083940916, 1.6031286946536671, 1.591332249896655, 1.5796157499504027, 1.5686621908320684, 1.558143397842684, 1.5481417877157204, 1.538821557358491, 1.529534630037986, 1.5210457091278724, 1.513111345882872, 1.5056256729487953, 1.4985500787394446, 1.4920192274154003, 1.4857867971495817, 1.4800789774912666, 1.4746873702708063, 1.4695082749122823, 1.464843452459545, 1.4604847327094364, 1.4562646423349024, 1.4523381712492105, 1.448616418143975, 1.4455001925352355, 1.44212678119299, 1.4393725396490493, 1.4366102468836424, 1.4340241207954134, 1.4315794093360976, 1.4293095870226544, 1.4272741863233491, 1.425135294442201, 1.4234539000545252, 1.421541875111153, 1.4200072580426821, 1.4183912531425058, 1.4171224725458607, 1.4156584597579573, 1.4144148691400504, 1.4132503943638983, 1.4120483496582756, 1.411044462228851, 1.4099966404662065, 1.409020098338686, 1.4081921689037344, 1.4073230581277651, 1.4065445558122678, 1.4058050493520913, 1.4050652817614044, 1.4046019027181083, 1.4038454140967227, 1.4032582615482139, 1.4026660085247957, 1.4022466072467656, 1.4016340762815611, 1.4011628117346377, 1.4005920263579559, 1.4003889366339406, 1.3998986849149075, 1.3994711606577257, 1.3991528490012954, 1.398664908992968, 1.398376236288894, 1.3980039685326646, 1.397778985782791, 1.3975022691042795, 1.3971531859349018, 1.3969773181897367, 1.396636517353707, 1.3965090197806622, 1.3961731395854182, 1.3960018850474742, 1.3957243218344293, 1.3955164092068055, 1.395334161752753]",1.395516409,"[1.8963263935077654, 1.868960826035343, 1.8504496422473002, 1.8367352714397027, 1.8254285673503177, 1.8158398882740197, 1.8073188458277214, 1.7994671925613117, 1.792410210848474, 1.7854277948519028, 1.778008537206082, 1.7708404477240307, 1.7631811584489716, 1.7551635062785347, 1.7464219677705373, 1.736927566196999, 1.7269030102824448, 1.7160669020659929, 1.7044750022875512, 1.6923764855368777, 1.679865549252883, 1.666945426709775, 1.65379157142012, 1.640919352551353, 1.6282068359542254, 1.6154281083940916, 1.6031286946536671, 1.591332249896655, 1.5796157499504027, 1.5686621908320684, 1.558143397842684, 1.5481417877157204, 1.538821557358491, 1.529534630037986, 1.5210457091278724, 1.513111345882872, 1.5056256729487953, 1.4985500787394446, 1.4920192274154003, 1.4857867971495817, 1.4800789774912666, 1.4746873702708063, 1.4695082749122823, 1.464843452459545, 1.4604847327094364, 1.4562646423349024, 1.4523381712492105, 1.448616418143975, 1.4455001925352355, 1.44212678119299, 1.4393725396490493, 1.4366102468836424, 1.4340241207954134, 1.4315794093360976, 1.4293095870226544, 1.4272741863233491, 1.425135294442201, 1.4234539000545252, 1.421541875111153, 1.4200072580426821, 1.4183912531425058, 1.4171224725458607, 1.4156584597579573, 1.4144148691400504, 1.4132503943638983, 1.4120483496582756, 1.411044462228851, 1.4099966404662065, 1.409020098338686, 1.4081921689037344, 1.4073230581277651, 1.4065445558122678, 1.4058050493520913, 1.4050652817614044, 1.4046019027181083, 1.4038454140967227, 1.4032582615482139, 1.4026660085247957, 1.4022466072467656, 1.4016340762815611, 1.4011628117346377, 1.4005920263579559, 1.4003889366339406, 1.3998986849149075, 1.3994711606577257, 1.3991528490012954, 1.398664908992968, 1.398376236288894, 1.3980039685326646, 1.397778985782791, 1.3975022691042795, 1.3971531859349018, 1.3969773181897367, 1.396636517353707, 1.3965090197806622, 1.3961731395854182, 1.3960018850474742, 1.3957243218344293, 1.3955164092068055, 1.395334161752753]"
0.075,0.01,100,99,1.392927137,"[1.9037952428778147, 1.8767670462670014, 1.8583304215547882, 1.8447169623158473, 1.8334178291320518, 1.8237452552549014, 1.8154602294541275, 1.8080421654514356, 1.80157551527638, 1.7949577856370393, 1.7888704202998071, 1.7829812958661257, 1.7765939449671615, 1.7702381923392554, 1.76338997969228, 1.7564179078184154, 1.7481693783352674, 1.7395511925201588, 1.7303237884657285, 1.7198489626789735, 1.709266894219566, 1.6972487120511672, 1.6851769630915467, 1.6725688633582945, 1.6597872065261081, 1.6466209091511692, 1.6335384921736325, 1.6208966519309531, 1.6082529400579244, 1.5958075570767474, 1.5840297151093072, 1.57257359883477, 1.5615594813216411, 1.551230692903663, 1.5415237743059211, 1.5319319386192276, 1.5231414210799963, 1.514719927810683, 1.5067803300377118, 1.4994808610041341, 1.4923828643895993, 1.4860289455002267, 1.4798383312897185, 1.4741891726984016, 1.468897192583458, 1.4640178922065294, 1.4591671881572, 1.4548215576214887, 1.4508700932453462, 1.4470510434011088, 1.4435687439981382, 1.4402281163597437, 1.4370308224038133, 1.4342617146391305, 1.431524214397862, 1.429054355392054, 1.4266423678104498, 1.4245000783325823, 1.4224330164122696, 1.4204921179303442, 1.4187506120644657, 1.4169955267975496, 1.4154915645203168, 1.4139484470455064, 1.4125885681295705, 1.411332569190786, 1.4100964880535798, 1.4088292606885227, 1.4078966046504455, 1.4069117666756057, 1.4058485997508625, 1.4049074182538943, 1.4040520351734889, 1.4034067780822677, 1.4025952056783602, 1.401999179699725, 1.4012443028710402, 1.4005715489537265, 1.4000373942237692, 1.3994696030321472, 1.3988613232142375, 1.3984155800515135, 1.3979878087513076, 1.3974548570525844, 1.3970675710884808, 1.3966352197042264, 1.3962760933385632, 1.3959181624771646, 1.3956061181558093, 1.3952827051768801, 1.394896313868481, 1.394580488561709, 1.394339778250863, 1.3940336709556815, 1.3938435833660112, 1.393575434576864, 1.393269722147102, 1.3931497057585456, 1.3929271367763525, 1.3927915206227313]",1.392927137,"[1.9037952428778147, 1.8767670462670014, 1.8583304215547882, 1.8447169623158473, 1.8334178291320518, 1.8237452552549014, 1.8154602294541275, 1.8080421654514356, 1.80157551527638, 1.7949577856370393, 1.7888704202998071, 1.7829812958661257, 1.7765939449671615, 1.7702381923392554, 1.76338997969228, 1.7564179078184154, 1.7481693783352674, 1.7395511925201588, 1.7303237884657285, 1.7198489626789735, 1.709266894219566, 1.6972487120511672, 1.6851769630915467, 1.6725688633582945, 1.6597872065261081, 1.6466209091511692, 1.6335384921736325, 1.6208966519309531, 1.6082529400579244, 1.5958075570767474, 1.5840297151093072, 1.57257359883477, 1.5615594813216411, 1.551230692903663, 1.5415237743059211, 1.5319319386192276, 1.5231414210799963, 1.514719927810683, 1.5067803300377118, 1.4994808610041341, 1.4923828643895993, 1.4860289455002267, 1.4798383312897185, 1.4741891726984016, 1.468897192583458, 1.4640178922065294, 1.4591671881572, 1.4548215576214887, 1.4508700932453462, 1.4470510434011088, 1.4435687439981382, 1.4402281163597437, 1.4370308224038133, 1.4342617146391305, 1.431524214397862, 1.429054355392054, 1.4266423678104498, 1.4245000783325823, 1.4224330164122696, 1.4204921179303442, 1.4187506120644657, 1.4169955267975496, 1.4154915645203168, 1.4139484470455064, 1.4125885681295705, 1.411332569190786, 1.4100964880535798, 1.4088292606885227, 1.4078966046504455, 1.4069117666756057, 1.4058485997508625, 1.4049074182538943, 1.4040520351734889, 1.4034067780822677, 1.4025952056783602, 1.401999179699725, 1.4012443028710402, 1.4005715489537265, 1.4000373942237692, 1.3994696030321472, 1.3988613232142375, 1.3984155800515135, 1.3979878087513076, 1.3974548570525844, 1.3970675710884808, 1.3966352197042264, 1.3962760933385632, 1.3959181624771646, 1.3956061181558093, 1.3952827051768801, 1.394896313868481, 1.394580488561709, 1.394339778250863, 1.3940336709556815, 1.3938435833660112, 1.393575434576864, 1.393269722147102, 1.3931497057585456, 1.3929271367763525, 1.3927915206227313]"
0.075,0.005,20,99,1.464447847,"[1.9130355729446356, 1.8872604196768394, 1.871036739199419, 1.8587508642034096, 1.8486828705659928, 1.8401268656381555, 1.832868718627231, 1.8262478872959997, 1.8202616784905938, 1.814627951958988, 1.8094426681333724, 1.8048418878729835, 1.8002759710689127, 1.7960250464904175, 1.7918785701992812, 1.7876626201797743, 1.7838216416199537, 1.7798755155969554, 1.7759987619986204, 1.7721439853839451, 1.7681937698526031, 1.764252517276521, 1.760346774532627, 1.7560639443697938, 1.751926211528172, 1.7479608359306515, 1.7434850320566784, 1.738867589281021, 1.7343116232494054, 1.729481357195297, 1.7245566560235746, 1.719632472316899, 1.7144485811951373, 1.709381274711454, 1.7039858223150361, 1.6984668323731484, 1.693206589735229, 1.6875583838393273, 1.682092922194269, 1.676473949206008, 1.6707817538044778, 1.6650490172901016, 1.6595449436220195, 1.653997754123617, 1.6482988000117333, 1.6427407081673526, 1.6371161220381871, 1.6316934215275698, 1.626486683338558, 1.6208769677313595, 1.615740156780026, 1.610591778526036, 1.605423827494961, 1.6005205064144672, 1.5955915691122338, 1.5907471432099414, 1.5859365030373747, 1.581390193383402, 1.576749489120577, 1.5723445887818333, 1.5678945792326968, 1.5636461753554216, 1.5596769710694234, 1.555587328461916, 1.5514241080157771, 1.5477155201512798, 1.5439307994456255, 1.5401708314565763, 1.5367195030253238, 1.5332786725698437, 1.5298005016982006, 1.5264161461057524, 1.5232841832582296, 1.5200808090803895, 1.516972211753946, 1.5140429448503672, 1.5112866666917675, 1.5082992705292815, 1.5057177597426625, 1.5030237361639929, 1.500367281954563, 1.4978501102070045, 1.4954101129023185, 1.4930813098071611, 1.4906978859908797, 1.4883492871179635, 1.4862084812252796, 1.4840790818296916, 1.4821287309515006, 1.4801886819025645, 1.478182809512091, 1.4761753945395935, 1.4744187494760783, 1.4727627364385059, 1.470957780986437, 1.4692419720737184, 1.4674815251746283, 1.465945424858913, 1.4644478474235105, 1.4628923985081226]",1.464447847,"[1.9130355729446356, 1.8872604196768394, 1.871036739199419, 1.8587508642034096, 1.8486828705659928, 1.8401268656381555, 1.832868718627231, 1.8262478872959997, 1.8202616784905938, 1.814627951958988, 1.8094426681333724, 1.8048418878729835, 1.8002759710689127, 1.7960250464904175, 1.7918785701992812, 1.7876626201797743, 1.7838216416199537, 1.7798755155969554, 1.7759987619986204, 1.7721439853839451, 1.7681937698526031, 1.764252517276521, 1.760346774532627, 1.7560639443697938, 1.751926211528172, 1.7479608359306515, 1.7434850320566784, 1.738867589281021, 1.7343116232494054, 1.729481357195297, 1.7245566560235746, 1.719632472316899, 1.7144485811951373, 1.709381274711454, 1.7039858223150361, 1.6984668323731484, 1.693206589735229, 1.6875583838393273, 1.682092922194269, 1.676473949206008, 1.6707817538044778, 1.6650490172901016, 1.6595449436220195, 1.653997754123617, 1.6482988000117333, 1.6427407081673526, 1.6371161220381871, 1.6316934215275698, 1.626486683338558, 1.6208769677313595, 1.615740156780026, 1.610591778526036, 1.605423827494961, 1.6005205064144672, 1.5955915691122338, 1.5907471432099414, 1.5859365030373747, 1.581390193383402, 1.576749489120577, 1.5723445887818333, 1.5678945792326968, 1.5636461753554216, 1.5596769710694234, 1.555587328461916, 1.5514241080157771, 1.5477155201512798, 1.5439307994456255, 1.5401708314565763, 1.5367195030253238, 1.5332786725698437, 1.5298005016982006, 1.5264161461057524, 1.5232841832582296, 1.5200808090803895, 1.516972211753946, 1.5140429448503672, 1.5112866666917675, 1.5082992705292815, 1.5057177597426625, 1.5030237361639929, 1.500367281954563, 1.4978501102070045, 1.4954101129023185, 1.4930813098071611, 1.4906978859908797, 1.4883492871179635, 1.4862084812252796, 1.4840790818296916, 1.4821287309515006, 1.4801886819025645, 1.478182809512091, 1.4761753945395935, 1.4744187494760783, 1.4727627364385059, 1.470957780986437, 1.4692419720737184, 1.4674815251746283, 1.465945424858913, 1.4644478474235105, 1.4628923985081226]"
0.05,0.05,50,2,2.903805524,"[2.915950894251141, 2.9038055238487015, 2.9113275268589476]",2.166020874,"[2.1797125812585225, 2.1660208743764104, 2.1750577925782513]"
0.05,0.05,100,2,2.894630654,"[2.9118049901239265, 2.8946306543531595, 2.897515666035262]",2.157461896,"[2.176380095160768, 2.157461895554508, 2.159105188102344]"
0.05,0.04,50,2,2.929126825,"[2.9334150790897717, 2.9291268245829647, 2.9365426373067867]",2.196080249,"[2.2030235280484516, 2.1960802490241353, 2.2065336716816937]"
0.05,0.04,100,1,2.927627125,"[2.927627124707866, 2.939862460429881]",2.199438973,"[2.199438972997991, 2.2117549964861225]"
0.05,0.03,50,1,2.252889198,"[2.2528891980154295, 2.9791806959155194]",1.605410317,"[1.605410317002518, 2.254378317647316]"
0.05,0.03,100,1,1.910311521,"[1.910311521203891, 2.1818081550015243]",1.296133178,"[1.2961331781141385, 1.5359954767872794]"
0.04,0.05,50,1,2.899918039,"[2.8999180394287274, 2.925297555152669]",2.156601002,"[2.1566010022689865, 2.1848343520740388]"
0.04,0.05,100,2,2.882372181,"[2.904379799053719, 2.8823721807705858, 2.92346190351947]",2.144237621,"[2.1692736565718516, 2.1442376212894936, 2.1908870561534597]"
0.04,0.04,50,2,2.916306505,"[2.9417394187193873, 2.9163065050272063, 2.951397529744553]",2.186415977,"[2.2152872680056057, 2.1864159773056002, 2.2222743941190686]"
0.04,0.04,100,1,2.919142336,"[2.9191423361706446, 2.95874473837838]",2.186785275,"[2.186785274755441, 2.227909480147327]"
0.04,0.03,50,1,2.240702776,"[2.2407027760307106, 2.957356647987655]",1.596603147,"[1.5966031469986373, 2.226437553304861]"
0.04,0.03,100,1,2.046507833,"[2.0465078332381217, 2.960957614702874]",1.42489393,"[1.424893930246933, 2.2375978792818096]"
0.03,0.05,50,2,2.856444737,"[2.905081101828518, 2.8564447365795975, 2.90641743100698]",2.113281914,"[2.16599604487471, 2.1132819139207135, 2.1678156783406943]"
0.03,0.05,100,1,2.916717984,"[2.9167179839947983, 2.930964041230202]",2.180974861,"[2.1809748610431385, 2.1974827077557615]"
0.03,0.04,50,1,2.907336497,"[2.907336497197381, 2.939546887349795]",2.172748678,"[2.17274867796698, 2.208222150828286]"
0.03,0.04,100,1,2.929063903,"[2.92906390306474, 2.9435745952879566]",2.196684054,"[2.1966840540288013, 2.2112400369668976]"
0.03,0.03,50,1,2.322869289,"[2.3228692891587186, 2.9533486294671665]",1.672135021,"[1.672135021073819, 2.2232321509095443]"
0.03,0.03,100,1,1.90668872,"[1.9066887195370157, 2.2395637193875877]",1.294037362,"[1.2940373615615717, 1.5914505005060107]"
0.03,0.03,100,0,1.407498326,[1.4074983256027187],1.102413095,[1.1024130946872241]